episode,loss
1,0.120912
2,0.255861
3,0.334879
4,0.420079
5,0.509470
6,0.595955
7,0.548160
8,0.545122
9,0.566109
10,0.580835
11,0.599692
12,0.785008
13,0.537036
14,0.364140
15,0.907542
16,0.748798
17,0.758400
18,0.774279
19,0.884418
20,0.996112
21,0.904985
22,1.113882
23,0.826159
24,1.258707
25,1.068255
26,0.433512
27,1.090370
28,0.871422
29,0.444854
30,0.885413
31,0.898628
32,0.664099
33,0.563659
34,1.016792
35,0.903746
36,0.911954
37,0.687587
38,0.912968
39,1.372640
40,0.912146
41,1.039640
42,1.278197
43,1.389446
44,1.038427
45,1.279853
46,1.761593
47,1.059269
48,0.711059
49,0.833455
50,1.063668
51,1.296185
52,1.071188
53,0.961576
54,1.311330
55,0.948402
56,0.592675
57,1.064810
58,1.428608
59,0.719729
60,0.954880
61,1.193186
62,0.717879
63,1.190544
64,0.955602
65,1.312975
66,1.431641
67,1.067940
68,0.590090
69,1.305290
70,1.649952
71,0.950633
72,1.313104
73,1.184348
74,0.951628
75,1.429187
76,1.070600
77,1.299782
78,1.302910
79,0.709097
80,0.958827
81,1.184562
82,1.187811
83,1.882556
84,0.951827
85,1.301765
86,1.419966
87,1.545578
88,1.534961
89,0.954368
90,0.951586
91,1.537988
92,1.308945
93,1.183535
94,0.357679
95,0.709094
96,1.413449
97,1.283547
98,1.395245
99,1.049091
100,1.404871
101,0.816383
102,1.384249
103,1.041532
104,1.039541
105,1.378492
106,1.261224
107,1.373418
108,0.911936
109,1.023604
110,1.033792
111,1.367351
112,1.934305
113,1.253692
114,1.595686
115,1.361902
116,0.910691
117,1.357329
118,1.462042
119,1.568546
120,0.895089
121,1.237006
122,1.350660
123,1.118507
124,1.004177
125,0.891123
126,0.891142
127,1.549554
128,0.884528
129,1.659222
130,1.210076
131,1.323212
132,0.987709
133,1.308514
134,1.310908
135,1.412431
136,1.524127
137,0.977020
138,1.732376
139,0.980536
140,1.409123
141,0.977292
142,1.728873
143,1.936438
144,1.288011
145,1.179070
146,1.499504
147,0.962529
148,2.031798
149,1.600873
150,1.605896
151,0.964160
152,1.278718
153,1.176798
154,1.604841
155,1.488417
156,1.275934
157,1.485064
158,1.700460
159,1.587901
160,1.367762
161,1.154566
162,1.259053
163,1.256220
164,1.357770
165,1.354825
166,0.836410
167,1.253663
168,1.041653
169,1.343975
170,0.832703
171,1.338596
172,1.238065
173,1.236663
174,0.920576
175,1.222638
176,0.619445
177,1.319664
178,1.013317
179,1.115696
180,1.621203
181,1.015458
182,1.111675
183,1.207759
184,1.610482
185,1.003582
186,1.100799
187,1.496749
188,1.099663
189,1.294452
190,0.991425
191,1.487793
192,0.993639
193,0.992449
194,1.577940
195,1.475882
196,1.282148
197,1.475385
198,1.568504
199,1.568458
200,1.371471
201,0.986251
202,1.669800
203,1.472166
204,0.974033
205,0.686300
206,1.653270
207,0.875868
208,1.064013
209,1.158586
210,0.968123
211,1.159343
212,0.580493
213,1.147853
214,0.768778
215,1.340807
216,0.856037
217,0.765811
218,1.326636
219,1.044405
220,1.219756
221,1.127565
222,1.310249
223,1.395741
224,1.397750
225,1.297312
226,1.296152
227,1.014902
228,1.388831
229,1.104265
230,1.291006
231,0.921005
232,0.916852
233,0.819460
234,1.185198
235,0.726927
236,1.090881
237,0.727192
238,1.362821
239,1.170245
240,1.707279
241,0.899983
242,0.991268
243,0.984895
244,1.339952
245,0.981201
246,0.805271
247,1.068073
248,1.243766
249,1.159877
250,1.065722
251,0.894058
252,0.882674
253,0.795627
254,0.880077
255,1.408889
256,0.793513
257,1.314502
258,0.878886
259,1.404376
260,0.523343
261,1.478159
262,1.395682
263,1.131234
264,0.868038
265,1.212277
266,0.872826
267,0.949547
268,0.861784
269,0.602044
270,0.772237
271,0.777173
272,1.110586
273,1.025288
274,1.280158
275,1.107476
276,1.872259
277,0.763370
278,1.017809
279,1.349896
280,1.097036
281,0.843741
282,1.091923
283,0.920819
284,1.170283
285,1.418960
286,0.917918
287,1.163982
288,0.581726
289,0.497664
290,0.822723
291,0.983477
292,1.145186
293,0.822588
294,0.817731
295,1.054823
296,0.891514
297,0.975362
298,0.966518
299,0.321121
300,0.959217
301,0.883127
302,1.194435
303,0.956462
304,0.555521
305,0.792023
306,0.950859
307,0.712238
308,0.638203
309,0.864828
310,0.866256
311,0.938926
312,0.627865
313,1.100464
314,0.704719
315,1.013616
316,1.162707
317,1.010068
318,1.002811
319,1.000767
320,1.004962
321,0.772948
322,1.224421
323,0.763106
324,0.997478
325,0.920245
326,0.913537
327,1.146218
328,0.537573
329,0.761448
330,0.757562
331,0.907673
332,0.603907
333,0.981129
334,1.052171
335,0.976012
336,2.862693
337,3.066894
338,2.236850
339,3.049923
340,1.828134
341,1.629518
342,3.233911
343,3.417576
344,1.800053
345,2.600889
346,1.997072
347,2.586524
348,1.993951
349,2.375044
350,3.352053
351,3.334999
352,2.558916
353,1.771454
354,2.537027
355,2.141975
356,2.337338
357,2.315399
358,1.939546
359,3.070197
360,1.729851
361,2.488366
362,2.473946
