episode,loss
1,0.120949
2,0.258397
3,0.274075
4,0.288040
5,0.529585
6,0.478076
7,0.497081
8,0.257993
9,0.623855
10,0.551771
11,0.753427
12,0.771108
13,0.694763
14,0.407050
15,0.517021
16,0.842991
17,0.861785
18,0.657782
19,0.445837
20,0.682855
21,0.797446
22,0.570916
23,0.583642
24,0.584615
25,0.956524
26,0.480189
27,0.733737
28,1.097576
29,0.621017
30,0.374601
31,0.765560
32,0.768260
33,0.894087
34,1.807405
35,0.391831
36,0.913968
37,0.926035
38,0.665670
39,0.135875
40,0.541418
41,1.211595
42,1.216136
43,0.682299
44,0.960452
45,0.683969
46,1.106900
47,0.834989
48,1.405487
49,0.845106
50,0.711744
51,0.860663
52,1.006136
53,0.725677
54,0.867808
55,0.873667
56,1.016426
57,0.436565
58,1.318054
59,1.033663
60,0.440133
61,0.739609
62,1.333598
63,0.740809
64,0.740095
65,0.598021
66,0.598062
67,1.492983
68,0.596732
69,1.502333
70,1.509819
71,1.209682
72,0.607412
73,0.915032
74,1.066899
75,1.074757
76,1.076034
77,1.081486
78,0.616670
79,0.769901
80,1.244119
81,0.772336
82,0.469627
83,1.245332
84,0.622343
85,1.087118
86,0.622543
87,0.624022
88,1.098034
89,1.404960
90,1.098068
91,0.159997
92,0.631977
93,1.261404
94,0.946563
95,1.580983
96,0.477330
97,0.636536
98,0.796622
99,1.113221
100,0.478457
101,1.428510
102,1.592802
103,1.435430
104,0.319094
105,0.954261
106,0.795242
107,1.425976
108,1.910307
109,0.954878
110,1.273406
111,0.793548
112,0.957744
113,0.959706
114,0.481378
115,0.807019
116,1.757031
117,1.283692
118,0.962005
119,0.960766
120,0.799641
121,0.317774
122,0.479578
123,0.806077
124,1.606092
125,0.637919
126,0.958206
127,1.122384
128,1.121457
129,1.119883
130,0.802528
131,1.120421
132,0.320966
133,0.958681
134,1.274534
135,0.964442
136,0.960366
137,1.448703
138,0.798736
139,1.279069
140,0.799449
141,0.800296
142,0.641124
143,0.162652
144,0.159556
145,1.441419
146,1.436708
147,0.959803
148,1.117730
149,0.642841
150,0.961335
151,0.801685
152,1.281785
153,0.801602
154,2.234842
155,0.484541
156,0.636547
157,1.449829
158,1.118585
159,1.119123
160,1.758795
161,0.798766
162,1.434928
163,0.964092
164,1.119972
165,0.795073
166,1.436253
167,1.121096
168,1.271517
169,0.798647
170,1.111654
171,1.272509
172,1.114357
173,0.631615
174,1.114808
175,0.951223
176,1.116031
177,1.106703
178,1.106099
179,1.108179
180,1.107087
181,0.317091
182,0.319420
183,0.953990
184,0.473982
185,0.946999
186,0.472885
187,1.101569
188,0.942317
189,0.935928
190,1.251884
191,1.256757
192,0.940607
193,0.939742
194,0.779166
195,1.099347
196,0.944228
197,1.255521
198,1.085645
199,1.086047
200,0.929590
201,0.781834
202,1.243087
203,0.928920
204,0.620819
205,0.927778
206,0.312430
207,0.621155
208,0.922926
209,0.925608
210,1.075822
211,1.390361
212,0.465245
213,0.773709
214,0.616385
215,1.079113
216,0.916047
217,0.308787
218,0.611399
219,0.000775
220,0.458008
221,1.062573
222,0.915623
223,0.911564
224,0.754836
225,0.761006
226,0.905636
227,0.754708
228,1.056719
229,0.600895
230,0.753585
231,0.599347
232,0.604270
233,0.748178
234,0.742122
235,0.450577
236,1.191354
237,0.297040
238,0.737417
239,0.593158
240,0.296016
241,0.737438
242,0.891357
243,0.443084
244,0.884448
245,0.443827
246,0.589540
247,1.614358
248,0.587147
249,1.465171
250,0.585767
251,0.147747
252,0.436781
253,0.585480
254,0.873246
255,0.733433
256,1.167673
257,1.020273
258,1.455165
259,0.292747
260,0.581699
261,0.440061
262,1.445979
263,0.722457
264,1.587106
265,0.580300
266,1.004748
267,0.861195
268,0.859864
269,1.433750
270,0.718911
271,1.293352
272,0.571295
273,0.853058
274,0.854335
275,1.280690
276,0.566489
277,1.138032
278,0.855000
279,0.423583
280,0.852490
281,1.131094
282,0.847274
283,0.419490
284,0.847164
285,0.705431
286,1.124915
287,0.559651
288,1.118442
289,0.980838
290,1.258894
291,0.278869
292,0.702343
293,0.560382
294,0.834342
295,1.109506
296,0.973313
297,1.112409
298,1.105143
299,0.416396
300,0.827450
301,1.664594
302,0.699663
303,0.829675
304,0.966148
305,0.545524
306,0.415004
307,0.550239
308,0.138462
309,0.958202
310,0.414427
311,1.093956
312,0.816079
313,0.137216
314,0.811693
315,0.536851
316,0.541922
317,0.402668
318,0.809560
319,0.675319
320,0.403817
321,0.670369
322,1.076171
323,1.207442
324,0.267069
325,0.266958
326,1.194654
327,0.929240
328,0.801680
329,0.799288
330,0.790467
331,0.266882
332,0.929745
333,0.534811
334,0.796241
335,0.662968
336,0.787898
337,1.465308
338,0.837868
339,0.835318
340,1.861168
341,1.445694
342,1.035069
343,1.438772
344,0.615363
345,0.819223
346,1.632563
347,0.406338
348,0.809350
349,2.233390
350,0.200660
351,1.014623
352,1.632514
353,0.409756
354,2.352760
355,1.176194
356,0.938985
357,1.608351
358,0.803182
359,2.677407
360,1.121184
361,1.397085
362,1.668314
363,0.839847
364,1.393932
365,1.394183
366,0.830309
367,2.967059
368,1.313661
369,2.297549
370,1.964633
371,2.611203
372,2.283998
373,1.949254
374,1.625275
375,3.246820
376,2.589548
377,2.580256
378,1.653077
379,2.299178
380,3.294585
381,2.289546
382,2.614132
383,2.612906
384,2.522951
385,1.255547
386,2.833607
387,1.875700
388,2.179305
389,3.266398
390,1.096949
391,2.714262
392,1.349201
393,1.300749
394,1.297627
395,3.089206
396,1.802816
397,1.003195
398,1.004676
399,0.723332
400,0.963179
401,1.924142
402,1.442297
403,2.154796
404,1.038594
405,1.655227
406,0.412804
407,2.253415
408,1.427548
409,0.611721
410,1.218668
411,1.008235
412,1.621426
413,0.709125
414,0.877825
415,0.871262
416,0.875511
417,1.044600
418,0.865823
419,1.554186
420,1.892701
421,1.891798
422,0.857325
423,1.027737
424,1.541776
425,0.339231
426,0.340609
427,1.021164
428,1.009653
429,1.009660
430,1.177170
431,1.002018
432,0.832267
433,0.500860
434,1.160228
435,1.153357
436,2.141757
437,0.823314
438,0.985670
439,1.304835
440,0.491485
441,1.140470
442,1.306548
443,0.487626
444,1.134316
445,0.805645
446,1.290495
447,0.319717
448,1.435117
449,1.276160
450,1.270637
451,1.269216
452,0.632212
453,1.262856
454,0.629128
455,0.155862
456,0.940891
457,0.783942
458,1.085748
459,0.467351
460,0.618746
461,0.459016
462,0.768009
463,1.075314
464,1.528484
465,0.610559
466,1.062895
467,1.060115
468,0.454200
469,0.910188
470,0.910354
471,0.450204
472,0.449182
473,0.749424
474,0.745571
475,1.188148
476,0.891814
477,0.891506
478,0.443814
479,0.442645
