episode,loss
1,0.121114
2,0.262658
3,0.210506
4,0.299693
5,0.311629
6,0.322905
7,0.503190
8,0.699037
9,0.645864
10,0.569502
11,0.393440
12,0.509361
13,0.628172
14,0.323439
15,0.440905
16,0.901182
17,0.694310
18,0.945881
19,0.944086
20,0.241898
21,0.735362
22,0.249943
23,0.749009
24,0.379718
25,0.643830
26,0.650383
27,0.391681
28,0.659703
29,0.262845
30,0.671446
31,0.539231
32,0.680310
33,0.412996
34,0.833364
35,0.965528
36,0.839440
37,1.136889
38,0.994725
39,0.860612
40,0.578325
41,0.733570
42,1.027296
43,0.886297
44,0.591884
45,0.593531
46,0.594723
47,1.042006
48,0.904398
49,1.507097
50,1.069288
51,1.376752
52,0.610090
53,0.916083
54,1.392990
55,0.779696
56,0.622228
57,0.468642
58,0.314545
59,1.250161
60,0.473952
61,0.634425
62,0.637019
63,0.791252
64,0.159606
65,0.951054
66,0.479678
67,1.599098
68,0.481747
69,0.643903
70,1.120781
71,1.131245
72,0.815678
73,0.326601
74,0.969354
75,0.654028
76,1.310826
77,0.491954
78,0.655727
79,0.821397
80,0.985403
81,1.488073
82,0.823535
83,1.490940
84,0.495607
85,1.155627
86,0.667249
87,0.499496
88,0.664787
89,0.338217
90,0.996498
91,1.162758
92,0.502367
93,0.336447
94,0.169420
95,1.510834
96,0.837156
97,0.670383
98,0.504117
99,1.018713
100,1.347751
101,1.515189
102,1.178748
103,1.519234
104,0.673490
105,1.011248
106,1.521667
107,1.014598
108,1.184555
109,1.346331
110,1.355556
111,0.511007
112,0.510754
113,0.505836
114,1.019212
115,0.676732
116,0.850314
117,0.677207
118,1.525411
119,1.532115
120,1.017689
121,0.677555
122,0.845471
123,0.846034
124,0.507560
125,0.678588
126,0.844201
127,1.184013
128,1.178006
129,1.182845
130,1.185556
131,0.843385
132,0.843851
133,1.351558
134,0.169092
135,1.017405
136,0.506638
137,0.674487
138,0.345178
139,1.177643
140,0.503249
141,0.837493
142,0.841358
143,0.336221
144,0.671636
145,0.837817
146,1.340533
147,1.170835
148,0.167553
149,0.834383
150,0.835318
151,0.835909
152,1.170022
153,1.330507
154,0.666216
