episode,loss
1,-0.286453
2,0.259939
3,-0.461170
4,0.204391
5,-0.208797
6,0.143158
7,-0.245742
8,0.264815
9,0.349315
10,0.298912
11,-0.200221
12,0.187779
13,-0.320809
14,0.245621
15,-0.234667
16,0.306720
17,0.242279
18,-0.211761
19,-0.178731
20,-0.244730
21,-0.425869
22,0.116989
23,0.287860
24,-0.335830
25,0.182431
26,-0.207441
27,-0.147700
28,-0.152511
29,0.308826
30,0.176852
31,-0.115202
32,0.439811
33,0.289568
34,0.432398
35,-0.224976
36,0.354162
37,0.288519
38,0.286681
39,-0.339751
40,-0.162981
41,-0.304849
42,-0.354510
43,0.291096
44,-0.289060
45,-0.296351
46,0.192408
47,0.172912
48,0.265501
49,0.205863
50,-0.218020
51,0.061723
52,-0.180416
53,0.469094
54,-0.240415
55,0.325754
56,-0.141449
57,-0.281043
58,0.493928
59,-0.311801
60,-0.320813
61,-0.536003
62,0.251113
63,0.530428
64,-0.351306
65,-0.518149
66,0.203753
67,-0.207528
68,0.308862
69,-0.311342
70,0.332429
71,-0.271608
72,0.344501
73,-0.293398
74,-0.164046
75,0.280171
76,-0.300760
77,0.148418
78,0.176468
79,0.265386
80,0.242782
81,-0.275696
82,0.294451
83,-0.178265
84,-0.257283
85,-0.208816
86,-0.171958
87,0.225369
88,0.106854
89,-0.180801
90,-0.134811
91,-0.299991
92,0.429411
93,-0.254762
94,-0.179543
95,-0.401217
96,-0.271857
97,0.365683
98,0.406079
99,0.478690
100,0.247392
101,-0.044252
102,-0.198297
103,0.480612
104,-0.117444
105,-0.255016
106,-0.196813
107,0.072556
108,-0.268747
109,-0.240303
110,-0.295290
111,-0.284940
112,0.487037
113,0.337243
114,0.225554
115,-0.130292
116,0.172677
117,0.380811
118,-0.336439
119,0.201688
120,0.354993
121,0.324520
122,-0.292091
123,-0.318167
124,-0.165918
125,-0.372747
126,0.449488
127,-0.358778
128,-0.089787
129,0.216329
130,-0.277323
131,-0.279744
132,-0.325895
133,-0.267579
134,-0.227671
135,-0.355958
136,-0.260036
137,0.389346
138,0.251343
139,0.280997
140,-0.370115
141,0.365268
142,0.163476
143,-0.234569
144,0.231065
145,0.294155
146,0.332657
147,-0.242106
148,0.284207
149,-0.215564
150,0.440275
151,0.455176
152,-0.202119
153,-0.304190
154,-0.336906
155,0.374408
156,-0.274631
157,-0.172274
158,0.182074
159,0.339458
160,0.367603
161,-0.413409
162,-0.277985
163,-0.274086
164,-0.260476
165,-0.154408
166,-0.165634
167,0.211242
168,0.260992
169,-0.102999
170,-0.189119
171,0.298762
172,-0.216719
173,0.220647
174,0.244691
175,-0.272049
176,0.191031
177,-0.098731
178,-0.272809
179,-0.184199
180,0.219954
181,-0.534219
182,-0.371670
183,-0.209725
184,0.399119
185,-0.226503
186,0.417570
187,-0.319860
188,-0.019533
189,-0.199402
190,0.225371
191,-0.372667
192,-0.290408
193,0.179898
194,0.275157
195,0.262507
196,-0.178796
197,-0.323574
198,-0.212902
199,-0.327196
200,0.397517
201,-0.351792
202,0.261582
203,-0.315782
204,0.104494
205,0.199334
206,0.219707
207,0.174082
208,-0.122734
209,-0.340249
210,0.381612
211,0.495369
212,-0.197237
213,0.189320
214,-0.293407
215,-0.223098
216,-0.353769
217,-0.291957
218,0.520532
219,-0.116243
220,-0.275002
221,0.173273
222,-0.181130
223,-0.313503
224,-0.450017
225,0.222433
226,0.214038
227,0.060020
228,0.293716
229,-0.295648
230,0.301968
231,-0.330024
232,-0.174740
